Location,Medium,Sample Date,Procedure Name,Nuclides/ Radiation,Result,Combined Standard Uncertainty,MDC,Unit
ALBUQUERQUE,AIR-FILTER,2010-09-21,Gross beta in air,Gross Beta,0.00469,0.00039,0.00039,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-06-15,Gross beta in air,Gross Beta,0.00571,0.0005,0.00058,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-07-25,Gross beta in air,Gross Beta,0.00764,0.00052,0.00028,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-07-13,Gross beta in air,Gross Beta,0.00636,0.00053,0.00056,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-11-2,Gross beta in air,Gross Beta,0.00663,0.00056,0.00064,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-10-21,Gross beta in air,Gross Beta,0.0126,0.0011,0.0014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-05-20,Gross beta in air,Gross Beta,0.00822,0.00056,0.00027,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-11-28,Gross beta in air,Gross Beta,0.00803,0.00055,0.00032,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-08-17,Gross beta in air,Gross Beta,0.00363,0.00033,0.00038,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-07-16,Gross beta in air,Gross Beta,0.00963,0.00076,0.00068,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-07-8,Gross beta in air,Gross Beta,0.00456,0.00055,0.00096,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-10-19,Gross beta in air,Gross Beta,0.01327,0.00089,0.0004,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-06-17,Gross beta in air,Gross Beta,0.00547,0.00065,0.0012,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-09-23,Gross beta in air,Gross Beta,0.0205,0.0015,0.00091,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-10-7,Gross beta in air,Gross Beta,0.00962,0.00091,0.0014,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-12-17,Gross beta in air,Gross Beta,0.00751,0.00048,0.00026,PCI/M3
ALBUQUERQUE,AIR-FILTER,2010-08-19,Gross beta in air,Gross Beta,0.0051,0.00059,0.001,PCI/M3
