Location,Medium,Sample Date,Procedure Name,Nuclides/ Radiation,Result,Combined Standard Uncertainty,MDC,Unit
ALBUQUERQUE,AIR-FILTER,2010-12-31,Gamma-ray Spectrometry,Radium-228,,,59,ACI/M3
ALBUQUERQUE,AIR-FILTER,2016-12-31,Gamma-ray Spectrometry,Radium-228,58,13,42,ACI/M3
ALBUQUERQUE,AIR-FILTER,2017-12-31,Gamma-ray Spectrometry,Radium-228,32.6,7.6,15,ACI/M3
ALBUQUERQUE,AIR-FILTER,2018-12-31,Gamma-ray Spectrometry,Radium-228,25.9,6.4,24,ACI/M3
ALBUQUERQUE,AIR-FILTER,2019-12-31,Gamma-ray Spectrometry,Radium-228,36.2,8.4,17,ACI/M3
CARLSBAD,AIR-FILTER,2014-12-31,Gamma-ray Spectrometry,Radium-228,41.6,6.3,16,ACI/M3
CARLSBAD,AIR-FILTER,2015-12-31,Gamma-ray Spectrometry,Radium-228,26.6,3.9,11,ACI/M3
CARLSBAD,AIR-FILTER,2016-12-31,Gamma-ray Spectrometry,Radium-228,28.9,8.4,31,ACI/M3
CARLSBAD,AIR-FILTER,2017-12-31,Gamma-ray Spectrometry,Radium-228,39.3,6.8,14,ACI/M3
CARLSBAD,AIR-FILTER,2018-12-31,Gamma-ray Spectrometry,Radium-228,52.4,9.7,22,ACI/M3
CARLSBAD,AIR-FILTER,2019-12-31,Gamma-ray Spectrometry,Radium-228,45.8,6.1,14,ACI/M3
CARLSBAD,AIR-FILTER,2020-12-31,Gamma-ray Spectrometry,Radium-228,36.1,5.9,15,ACI/M3
CARLSBAD,AIR-FILTER,2021-12-31,Gamma-ray Spectrometry,Radium-228,69,14,33,ACI/M3
NAVAJO LAKE,AIR-FILTER,2010-12-31,Gamma-ray Spectrometry,Radium-228,,,35,ACI/M3
NAVAJO LAKE,AIR-FILTER,2014-12-31,Gamma-ray Spectrometry,Radium-228,36,11,40,ACI/M3
NAVAJO LAKE,AIR-FILTER,2015-12-31,Gamma-ray Spectrometry,Radium-228,31.5,6.1,27,ACI/M3
NAVAJO LAKE,AIR-FILTER,2016-12-31,Gamma-ray Spectrometry,Radium-228,41.4,7.5,30,ACI/M3
NAVAJO LAKE,AIR-FILTER,2017-12-31,Gamma-ray Spectrometry,Radium-228,30.8,6.4,15,ACI/M3
NAVAJO LAKE,AIR-FILTER,2019-12-31,Gamma-ray Spectrometry,Radium-228,15.9,7.9,26,ACI/M3
NAVAJO LAKE,AIR-FILTER,2020-12-31,Gamma-ray Spectrometry,Radium-228,25.2,9.1,23,ACI/M3
