API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
30015533280000,FORTY NINER RIDGE UNIT 15 22 BJL,020H,FORTY NINER RIDGE UNIT 15 22 BJL,STRATA PROD,STRATA PRODUCTION,STRATA PRODUCTION CO,,FORTY NINER RIDGE,EDDY (NM),DELAWARE,DELAWARE,,,,DELAWARE,3189.00,KB EST,3166.00,14468.00,7316.26,OIL,DUC,1,131166908,COM,333728,2023-03-03,2023-04-01,H,,,,7189.76,6939.76,2023-04-01,2023-05-01,2,,,,,,,,,,,,38654.00,2,35028.00,2,32816.00,2,231.9240,2,5.57,5.05,4.73,49934.00,44790.00,42469.00,82499.00,1054.65,0.2996,299.6040,35028.00,32816.00,60683.00,1067.41,1067.41,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,15,23S,30E,NWNE,,,,,,,,HEART RIVER LOGISTICS LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.3086750,-103.8667160,32.2889138,-103.8669126
30015531840000,TOUGH OMBRES 4 5 W0QR FEDERAL COM,001H,TOUGH OMBRES 4 5 W0QR FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,WILDCAT ALACRAN HILLS UPPER WOLFCAMP OI,EDDY (NM),DELAWARE,DELAWARE,,,,,3222.00,KB,3194.00,16490.00,8881.00,OIL,COMPLETED,1,131097759,COM,333632,2023-02-12,2023-04-14,H,,,,7713.65,7463.65,2023-04-01,2023-04-01,1,2023-04-05,2023-04-14,,,,,,,,,,2557.33,1,5720.00,1,1604.00,1,15.3440,1,0.34,0.77,0.21,2557.33,5720.00,1604.00,7688.00,3566.08,0.0153,15.3440,5720.00,1604.00,7688.00,3566.08,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,04,21S,27E,NESE,,,,,,,,SHELL TRADING US COMPANY,ENTERPRISE FIELD SERVICES L.L.C.,,,32.5056660,-104.1870180,32.5066619,-104.2120102
30015531830000,TOUGH OMBRES 4 5 W0XW FEDERAL COM,001H,TOUGH OMBRES 4 5 W0XW FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,WILDCAT ALACRAN HILLS UPPER WOLFCAMP OI,EDDY (NM),DELAWARE,DELAWARE,,,,,3223.00,KB,3195.00,16488.00,8877.00,OIL,COMPLETED,1,131097819,COM,333631,2023-03-04,2023-04-14,H,,,,7748.88,7498.88,2023-04-01,2023-04-01,1,2023-04-05,2023-04-14,,,,,,,,,,4134.67,1,6838.00,1,2995.00,1,24.8080,1,0.55,0.91,0.40,4134.67,6838.00,2995.00,8209.00,2283.14,0.0248,24.8080,6838.00,2995.00,8209.00,2283.14,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,04,21S,27E,NESE,,,,,,,,SHELL TRADING US COMPANY,ENTERPRISE FIELD SERVICES L.L.C.,,,32.5055830,-104.1870190,32.5032534,-104.2120018
30015501960000,FNRU FEDERAL COM 22 23 PPI,016H,FNRU FEDERAL COM 22 23 PPI,STRATA PROD,STRATA PRODUCTION,STRATA PRODUCTION CO,,FORTY NINER RIDGE,EDDY (NM),DELAWARE,DELAWARE,,,,DELAWARE,3287.00,KB EST,3264.00,13172.00,,OIL,ACTIVE,1,131096142,COM,333580,2022-12-30,2023-02-01,H,,,,6140.63,5890.63,2023-02-01,2023-05-01,4,,,,,,,,,,,,28887.83,2,23964.00,3,24896.00,2,173.3270,2,4.90,4.07,4.23,68821.00,69630.00,57216.00,255083.00,1216.97,0.4129,412.9260,18879.00,12010.00,61719.00,1571.94,962.04,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,22,23S,30E,SESE,,,,,,,,HEART RIVER LOGISTICS LLC,ENTERPRISE FIELD SERVICES L.L.C.,,,32.2845080,-103.8629370,32.2845113,-103.8430680
30015500650000,BOONDOCK 3 H3PA STATE COM,001H,BOONDOCK 3 H3PA STATE COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,SAN LORENZO,EDDY (NM),DELAWARE,DELAWARE,,,,"BONE SPRING, NORTH",3004.00,KB EST,2981.00,13727.00,8444.10,OIL,ACTIVE,1,131073516,COM,333394,2022-11-05,2023-02-11,H,,,,5020.32,4770.32,2023-02-01,2023-04-01,3,2023-01-22,2023-02-11,,,,,,,,,,40306.33,2,67834.00,3,31039.00,2,241.8380,2,8.45,14.22,6.51,86077.83,135647.00,63470.00,119736.00,2137.18,0.5165,516.4670,67834.00,24925.00,34599.00,2721.52,1791.42,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,03,25S,28E,SESE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,TARGA MIDSTREAM SERVICES LLC,,,32.1529685,-104.0681527,32.1666523,-104.0702467
30015499840100,MICHAEL RYAN FEDERAL COM,128H,MICHAEL RYAN FEDERAL COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,CULEBRA BLUFF,EDDY (NM),DELAWARE,DELAWARE,,,,MULTIPLE,3106.50,KB,3078.00,16923.80,8231.80,GAS,COMPLETED,2,"131065285,131163057",MULTIPLE,MULTIPLE,2023-01-23,2023-02-20,H,,,,8872.67,8622.67,2023-03-01,2023-04-01,2,2023-02-13,2023-02-20,,,,,,,,,,37513.50,2,39915.00,2,30861.00,2,225.0810,2,4.35,4.63,3.58,44299.00,46338.00,36576.00,103404.00,1266.90,0.2658,265.7940,39915.00,30861.00,64511.00,1293.38,1293.38,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,16,22S,28E,SWSW,,,,,,,,MULTIPLE,MULTIPLE,,,32.3871914,-104.1002028,32.3873881,-104.0714623
30015499810100,TOMMY BOY 23 24 W0EH FEDERAL COM,001H,TOMMY BOY 23 24 W0EH FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3124.00,KB EST,3101.00,19258.30,9319.00,GAS,ACTIVE,1,131065349,COM,333278,2022-10-26,2022-12-30,H,,,,10810.43,10560.43,2023-01-01,2023-04-01,4,2022-12-18,2022-12-30,,,,,,,,,,60678.00,3,105996.00,3,43105.00,4,364.0680,3,5.75,10.04,4.08,188318.34,319604.00,135051.00,372317.00,2366.54,1.1299,1129.9100,102592.00,43105.00,92049.00,2380.05,2119.10,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,22,22S,27E,SENE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,SENDERO CARLSBAD MIDSTREAM LLC,,,32.3789350,-104.1705820,32.3803426,-104.1356058
30015499800100,TOMMY BOY 23 24 W0DA FEDERAL COM,001H,TOMMY BOY 23 24 W0DA FEDERAL COM,MEWBOURNE OIL,MEWBOURNE OIL,MEWBOURNE OIL CO,,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3124.00,KB EST,3101.00,19520.50,9319.00,GAS,ACTIVE,1,131065325,COM,333277,2022-10-05,2022-12-30,H,,,,11012.25,10762.25,2023-01-01,2023-04-01,4,2022-12-18,2022-12-30,,,,,,,,,,62396.83,3,107321.00,3,44510.00,3,374.3810,3,5.80,9.97,4.14,191227.50,320763.00,137767.00,333375.00,2328.30,1.1474,1147.3650,102121.00,43913.00,82301.00,2325.53,2133.13,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,22,22S,27E,SENE,,,,,,,,ORYX DELAWARE OIL TRANSPORT LLC,SENDERO CARLSBAD MIDSTREAM LLC,,,32.3789340,-104.1706790,32.3844660,-104.1356098
30015499170000,SHERPA 12 STATE COM,727H,SHERPA 12 STATE COM,EOG RESOURCES,EOG RESOURCES,EOG RESOURCES INC,EOG,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,WOLFCAMP (GAS),3101.00,KB,3076.00,19685.00,9470.00,GAS,COMPLETED,1,131062232,COM,331158,2022-09-28,2023-03-03,H,,,,9814.28,9564.28,2023-04-01,2023-04-01,1,2023-02-14,2023-03-03,,,,,,,,,,35019.50,1,59061.00,1,25176.00,1,210.1170,1,3.66,6.18,2.63,35019.50,59061.00,25176.00,145628.00,2345.92,0.2101,210.1170,59061.00,25176.00,145628.00,2345.92,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,12,25S,27E,NENE,,,,,,,,TARGA MIDSTREAM SERVICES LLC,TARGA MIDSTREAM SERVICES LLC,,,32.1502070,-104.1397440,32.1232360,-104.1403793
30015499050100,CHES RIDDLE COM,221H,CHES RIDDLE COM,MATADOR,MATADOR RESOURCES,MATADOR PRODUCTION COMPANY,MTDR,PURPLE SAGE,EDDY (NM),DELAWARE,DELAWARE,,,,,3007.50,KB,2979.00,15879.20,10580.00,OIL,DUC,,,,,2023-02-16,,H,,,,5297.51,5047.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERMIAN BASIN,,NM,02,24S,28E,NENE,,,,,,,,,,,,32.2534607,-104.0505782,32.2534107,-104.0334432
